brand,title,price,final_resale_price,n_likes,limited,model,condition,m_model,material,color,sold_out,description,mean_retail_price
Louis Vuitton,Pochette Accessoire cloth clutch bag,491.45,442.31,82.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Brown,1.0,,660.0
Louis Vuitton,Neverfull cloth handbag,1637.79,1637.79,12.0,1,neverfull,Very good condition,Neverfull,Cloth,Multicolour,1.0,,1070.0
Louis Vuitton,NéoNoé cloth bag,2821.74,2821.74,26.0,1,néonoé,Never worn,NéoNoé,Cloth,Pink,1.0,,1660.0
Louis Vuitton,Speedy cloth handbag,1211.21,1211.21,41.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,Neverfull cloth tote,3046.3,3046.3,22.0,1,neverfull,Never worn,Neverfull,Cloth,Multicolour,1.0,,1510.0
Louis Vuitton,NéoNoé leather handbag,1742.42,1742.42,12.0,1,néonoé,Very good condition,NéoNoé,Leather,Brown,1.0,,1660.0
Louis Vuitton,Speedy leather handbag,2010.49,1590.52,5.0,1,speedy,Good condition,Speedy,Leather,Black,1.0,,1790.0
Louis Vuitton,Twist leather crossbody bag,3127.43,2501.94,13.0,1,twist,Never worn,Twist,Leather,Black,1.0,,2600.0
Louis Vuitton,Neverfull leather handbag,982.91,893.55,13.0,1,neverfull,Very good condition,Neverfull,Leather,Other,1.0,,1070.0
Louis Vuitton,NéoNoé leather handbag,642.46,490.56,18.0,1,néonoé,Good condition,NéoNoé,Leather,Green,1.0,,1660.0
Louis Vuitton,Speedy cloth bag,3427.94,3062.29,23.0,1,speedy,Very good condition,Speedy,Cloth,Multicolour,1.0,,1790.0
Louis Vuitton,NéoNoé cloth handbag,2322.34,2322.34,40.0,1,néonoé,Never worn,NéoNoé,Cloth,Brown,1.0,,1660.0
Louis Vuitton,Onthego cloth tote,3216.78,2680.65,42.0,1,onthego,"Never worn, with tag",Onthego,Cloth,Blue,1.0,,2290.0
Louis Vuitton,Onthego cloth tote,3216.78,2680.65,66.0,1,onthego,"Never worn, with tag",Onthego,Cloth,Red,1.0,,2290.0
Louis Vuitton,Speedy leather handbag,2189.2,2189.2,18.0,1,speedy,Very good condition,Speedy,Leather,Black,1.0,,1790.0
Louis Vuitton,Onthego cloth tote,3842.27,3484.85,46.0,1,onthego,Never worn,Onthego,Cloth,Pink,1.0,,2290.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,527.19,508.43,22.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
Louis Vuitton,Pochette Accessoire cloth clutch bag,495.92,495.92,26.0,1,pochette,Never worn,Pochette Accessoire,Cloth,Multicolour,1.0,,660.0
